timestamp,bitcoin_usd,ethereum_usd,dogecoin_usd,solana_usd
2025-06-04T09:36:22.428653,105654,2613.94,0.194731,156.01
2025-06-04T09:36:33.744904,105654,2613.94,0.194731,156.01
2025-06-04T09:36:33.744904,105654,2613.94,0.194731,156.01
2025-06-04T09:36:44.933600,105654,2613.94,0.194731,156.01
2025-06-04T09:36:44.933600,105654,2613.94,0.194731,156.01
2025-06-04T09:36:56.101630,105654,2613.94,0.194731,156.01
2025-06-04T09:36:56.101630,105654,2613.94,0.194731,156.01
2025-06-04T09:36:56.101630,105654,2613.94,0.194731,156.01
2025-06-04T09:37:07.412555,105654,2613.94,0.194731,156.01
2025-06-04T09:37:07.412555,105654,2613.94,0.194731,156.01
2025-06-04T09:37:07.412555,105654,2613.94,0.194731,156.01
2025-06-04T09:37:18.576673,105654,2613.94,0.194731,156.01
2025-06-04T09:37:18.576673,105654,2613.94,0.194731,156.01
2025-06-04T09:37:18.576673,105654,2613.94,0.194731,156.01
2025-06-04T09:37:30.525084,105643,2613.08,0.194725,156.17
2025-06-04T09:37:30.525084,105643,2613.08,0.194725,156.17
2025-06-04T09:37:30.525084,105643,2613.08,0.194725,156.17
2025-06-04T09:37:42.105071,105643,2613.08,0.194725,156.17
2025-06-04T09:37:42.105071,105643,2613.08,0.194725,156.17
2025-06-04T09:37:42.105071,105643,2613.08,0.194725,156.17
2025-06-04T09:37:53.346931,105643,2613.08,0.194725,156.17
2025-06-04T09:37:53.346931,105643,2613.08,0.194725,156.17
2025-06-04T09:37:53.346931,105643,2613.08,0.194725,156.17
2025-06-04T09:38:04.494127,105643,2613.08,0.194725,156.17
2025-06-04T09:38:04.494127,105643,2613.08,0.194725,156.17
2025-06-04T09:38:04.494127,105643,2613.08,0.194725,156.17
2025-06-04T09:38:15.888732,105643,2613.08,0.194725,156.17
2025-06-04T09:38:15.888732,105643,2613.08,0.194725,156.17
2025-06-04T09:38:27.352262,105643,2613.08,0.194725,156.17
2025-06-04T09:38:27.352262,105643,2613.08,0.194725,156.17
2025-06-04T09:38:27.352262,105643,2613.08,0.194725,156.17
2025-06-04T09:38:38.876957,105643,2613.0,0.194716,156.17
2025-06-04T09:38:38.876957,105643,2613.0,0.194716,156.17
2025-06-04T09:38:38.876957,105643,2613.0,0.194716,156.17
2025-06-04T09:38:49.985187,105643,2613.0,0.194716,156.17
2025-06-04T09:38:49.985187,105643,2613.0,0.194716,156.17
2025-06-04T09:38:49.985187,105643,2613.0,0.194716,156.17
2025-06-04T09:39:01.197297,105643,2613.0,0.194716,156.17
2025-06-04T09:39:01.197297,105643,2613.0,0.194716,156.17
2025-06-04T09:39:12.389609,105643,2613.0,0.194716,156.17
2025-06-04T09:39:12.389609,105643,2613.0,0.194716,156.17
2025-06-04T09:40:32.849725,105639,2613.36,0.195077,156.63
2025-06-04T09:40:32.849725,105639,2613.36,0.195077,156.63
2025-06-04T09:40:44.141844,105639,2613.36,0.195077,156.63
2025-06-04T09:40:44.141844,105639,2613.36,0.195077,156.63
2025-06-04T09:40:44.141844,105639,2613.36,0.195077,156.63
2025-06-04T09:40:57.004392,105639,2613.36,0.195077,156.63
2025-06-04T09:40:57.004392,105639,2613.36,0.195077,156.63
2025-06-04T09:40:57.004392,105639,2613.36,0.195077,156.63
2025-06-04T09:41:08.250128,105639,2613.36,0.195077,156.63
2025-06-04T09:41:08.250128,105639,2613.36,0.195077,156.63
2025-06-04T09:41:19.584586,105639,2613.36,0.195077,156.63
2025-06-04T09:41:19.584586,105639,2613.36,0.195077,156.63
2025-06-04T09:41:19.584586,105639,2613.36,0.195077,156.63
2025-06-04T09:41:30.908722,105639,2613.36,0.195077,156.63
2025-06-04T09:41:30.908722,105639,2613.36,0.195077,156.63
2025-06-04T09:41:43.151264,105634,2613.17,0.195066,156.63
2025-06-04T09:41:43.151264,105634,2613.17,0.195066,156.63
2025-06-04T09:41:43.151264,105634,2613.17,0.195066,156.63
2025-06-04T09:41:54.202468,105634,2613.17,0.195066,156.63
2025-06-04T09:41:54.202468,105634,2613.17,0.195066,156.63
2025-06-04T09:41:54.202468,105634,2613.17,0.195066,156.63
2025-06-04T09:42:05.523338,105634,2613.17,0.195066,156.63
2025-06-04T09:42:05.523338,105634,2613.17,0.195066,156.63
2025-06-04T09:42:17.495013,105634,2613.17,0.195066,156.63
2025-06-04T09:42:17.495013,105634,2613.17,0.195066,156.63
2025-06-04T09:42:17.495013,105634,2613.17,0.195066,156.63
2025-06-04T09:42:29.364641,105634,2613.17,0.195066,156.63
2025-06-04T09:42:29.364641,105634,2613.17,0.195066,156.63
2025-06-04T09:42:29.364641,105634,2613.17,0.195066,156.63
2025-06-04T09:42:41.258268,105634,2613.17,0.195066,156.63
2025-06-04T09:42:41.258268,105634,2613.17,0.195066,156.63
2025-06-04T09:42:41.258268,105634,2613.17,0.195066,156.63
2025-06-04T09:42:53.551706,105630,2613.03,0.195052,156.63
2025-06-04T09:42:53.551706,105630,2613.03,0.195052,156.63
2025-06-04T09:42:53.551706,105630,2613.03,0.195052,156.63
2025-06-04T09:43:04.880736,105630,2613.03,0.195052,156.63
2025-06-04T09:43:04.880736,105630,2613.03,0.195052,156.63
2025-06-04T09:43:04.880736,105630,2613.03,0.195052,156.63
2025-06-04T09:43:16.241667,105630,2613.03,0.195052,156.63
2025-06-04T09:43:16.241667,105630,2613.03,0.195052,156.63
2025-06-04T09:43:16.241667,105630,2613.03,0.195052,156.63
2025-06-04T09:43:27.541328,105630,2613.03,0.195052,156.63
2025-06-04T09:43:27.541328,105630,2613.03,0.195052,156.63
2025-06-04T09:43:38.678388,105630,2613.03,0.195052,156.63
2025-06-04T09:43:38.678388,105630,2613.03,0.195052,156.63
2025-06-04T09:43:50.512636,105630,2613.03,0.195052,156.63
2025-06-04T09:43:50.512636,105630,2613.03,0.195052,156.63
2025-06-04T09:44:03.652655,105632,2612.83,0.195052,156.62
2025-06-04T09:44:03.652655,105632,2612.83,0.195052,156.62
2025-06-04T09:44:03.652655,105632,2612.83,0.195052,156.62
2025-06-04T09:44:16.097598,105632,2612.83,0.195052,156.62
2025-06-04T09:44:16.097598,105632,2612.83,0.195052,156.62
2025-06-04T09:44:16.097598,105632,2612.83,0.195052,156.62
2025-06-04T09:44:27.203727,105632,2612.83,0.195052,156.62
2025-06-04T09:44:27.203727,105632,2612.83,0.195052,156.62
2025-06-04T09:44:27.203727,105632,2612.83,0.195052,156.62
2025-06-04T09:44:38.252602,105632,2612.83,0.195052,156.62
2025-06-04T09:44:38.252602,105632,2612.83,0.195052,156.62
2025-06-04T09:44:49.502461,105632,2612.83,0.195052,156.62
2025-06-04T09:44:49.502461,105632,2612.83,0.195052,156.62
2025-06-04T09:44:49.502461,105632,2612.83,0.195052,156.62
