timestamp,bitcoin_usd,ethereum_usd
2025-06-02 09:41:40,105462,2532.61
2025-06-02 09:41:51,105462,2532.61
2025-06-02 09:42:01,105455,2532.43
2025-06-02 09:42:12,105455,2532.43
2025-06-02 09:43:24,105453,2531.75
2025-06-02 09:43:34,105453,2531.75
2025-06-02 09:43:44,105453,2531.75
2025-06-02 09:43:54,105453,2531.75
2025-06-02 09:44:05,105453,2531.75
2025-06-02 09:44:15,105453,2531.75
2025-06-02 09:44:26,105450,2531.7
2025-06-02 09:44:36,105450,2531.7
2025-06-02 09:44:46,105450,2531.7
2025-06-02 09:45:59,105449,2531.51
2025-06-02 09:46:09,105449,2531.51
2025-06-02 09:46:19,105449,2531.51
2025-06-02 09:46:29,105449,2531.51
2025-06-02 09:46:40,105449,2531.51
2025-06-02 09:46:50,105449,2531.51
2025-06-02 09:47:00,105449,2531.45
2025-06-02 09:48:13,105447,2530.87
2025-06-02 09:48:23,105447,2530.87
2025-06-02 09:48:34,105447,2530.87
2025-06-02 09:48:44,105447,2530.87
2025-06-02 09:48:54,105447,2530.87
2025-06-02 09:49:04,105447,2530.87
2025-06-02 09:49:15,105445,2530.78
2025-06-02 09:49:25,105445,2530.78
2025-06-02 09:50:37,105442,2530.56
2025-06-02 09:50:47,105442,2530.56
2025-06-02 09:50:58,105442,2530.56
2025-06-02 09:51:08,105442,2530.56
2025-06-02 09:51:18,105442,2530.56
2025-06-02 09:51:28,105442,2530.56
2025-06-02 09:51:40,105446,2530.39
2025-06-02 09:51:50,105446,2530.39
2025-06-02 09:52:01,105446,2530.39
2025-06-02 09:52:12,105446,2530.39
2025-06-02 09:52:25,105446,2530.39
2025-06-02 09:53:40,105442,2530.39
2025-06-02 09:53:50,105442,2530.39
2025-06-02 09:54:01,105442,2530.39
2025-06-02 09:54:12,105442,2530.39
2025-06-02 09:54:22,105442,2530.39
2025-06-02 09:54:32,105442,2530.39
2025-06-02 09:54:44,105442,2530.34
2025-06-02 09:55:57,105442,2530.22
2025-06-02 09:56:08,105442,2530.22
2025-06-02 09:56:19,105442,2530.22
2025-06-02 09:56:30,105442,2530.22
2025-06-02 09:56:40,105442,2530.22
2025-06-02 09:56:50,105442,2530.22
2025-06-02 09:57:01,105441,2530.05
2025-06-02 09:57:12,105441,2530.05
2025-06-02 09:58:26,105441,2529.79
2025-06-02 09:58:36,105441,2529.79
2025-06-02 09:58:46,105441,2529.79
2025-06-02 09:58:57,105441,2529.79
2025-06-02 09:59:07,105441,2529.79
2025-06-02 09:59:18,105441,2529.79
2025-06-02 09:59:30,105438,2529.72
2025-06-02 09:59:40,105438,2529.72
2025-06-02 09:59:51,105438,2529.72
2025-06-02 10:00:02,105438,2529.72
2025-06-02 10:00:12,105438,2529.72
2025-06-02 10:01:36,105437,2529.34
2025-06-02 10:01:46,105437,2529.34
2025-06-02 10:01:57,105437,2529.34
2025-06-02 10:02:08,105437,2529.34
2025-06-02 10:02:20,105437,2529.34
2025-06-02 10:02:31,105437,2529.34
2025-06-02 10:02:43,105434,2528.9
2025-06-02 10:02:55,105434,2528.9
2025-06-02 10:03:07,105434,2528.9
2025-06-02 10:03:17,105434,2528.9
2025-06-02 10:03:28,105434,2528.9
2025-06-02 10:03:38,105434,2528.9
2025-06-02 10:03:49,105432,2528.89
2025-06-02 10:04:01,105432,2528.89
2025-06-02 10:08:22,105384,2527.12
2025-06-02 10:08:32,105384,2527.12
2025-06-02 10:08:48,105384,2527.12
2025-06-02 10:09:02,105384,2527.12
2025-06-02 10:09:14,105384,2527.12
2025-06-02 10:09:25,105370,2527.03
2025-06-02 10:09:35,105370,2527.03
2025-06-02 10:09:46,105370,2527.03
2025-06-02 10:10:59,105362,2526.57
2025-06-02 10:11:09,105362,2526.57
2025-06-02 10:11:19,105362,2526.57
2025-06-02 10:11:30,105362,2526.57
2025-06-02 10:11:40,105362,2526.57
2025-06-02 10:11:50,105362,2526.57
2025-06-02 10:12:04,105346,2526.07
2025-06-02 10:12:16,105346,2526.07
2025-06-02 10:12:26,105346,2526.07
2025-06-02 10:12:36,105346,2526.07
2025-06-02 10:13:49,105334,2525.4
2025-06-02 10:13:59,105334,2525.4
2025-06-02 10:14:10,105334,2525.4
2025-06-02 10:14:20,105334,2525.4
2025-06-02 10:14:31,105334,2525.4
2025-06-02 10:14:41,105334,2525.4
2025-06-02 10:14:53,105334,2525.14
2025-06-02 10:15:03,105334,2525.14
2025-06-02 10:15:35,105334,2525.14
2025-06-02 10:15:45,105334,2525.14
2025-06-02 10:15:56,105334,2525.09
2025-06-02 10:16:06,105334,2525.09
2025-06-02 10:16:16,105334,2525.09
2025-06-02 10:16:27,105334,2525.09
2025-06-02 10:16:37,105334,2525.09
2025-06-02 10:16:47,105334,2525.09
2025-06-02 10:18:06,105300,2524.66
2025-06-02 10:18:16,105300,2524.66
2025-06-02 10:18:41,105300,2524.66
2025-06-02 10:18:53,105300,2524.66
2025-06-02 10:19:03,105300,2524.66
2025-06-02 10:19:14,105300,2523.47
2025-06-02 10:19:24,105300,2523.47
2025-06-02 10:19:34,105300,2523.47
2025-06-02 10:20:48,105285,2522.37
2025-06-02 10:20:58,105285,2522.37
2025-06-02 10:21:09,105285,2522.37
